Datum,Niederschlag_mm,Station,Zaehldaten,geometry,lon,lat,baseline_count,normalized_count
2024-01-05,0.27,"Kanalpromenade, Abschnitt 5",613.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.49408649022091355
2024-01-05,0.27,Promenade (in Höhe Hals),5745.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.6010777698826483
2024-01-05,0.27,"Kanalpromenade, Abschnitt 1",435.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.3232092684912674
2024-01-05,0.27,Lütkenbecker Weg,1603.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.5153881035834953
2024-01-05,0.27,Goldstraße,1026.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.7222863967847818
2024-01-05,0.27,Bohlweg,2705.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.6218118721294196
2024-01-05,0.27,Kinderhauser Straße,665.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.6414615586979828
2024-01-05,0.27,Gasselstiege,1660.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.5914674790970653
2024-01-05,0.27,Schmeddingstraße,1449.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.5580051988062
2024-01-05,0.27,Weißenburgstraße,901.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.7123031758740326
2024-01-05,0.27,"Kanalpromenade, Abschnitt 6",151.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.21655983705000684
2024-01-05,0.27,Coesfelder Kreuz,1655.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,0.30104208320430065
2024-01-05,0.27,Grevener Straße,877.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.639247638397252
2024-01-06,0.0,Wolbecker Straße,5901.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.6540922038268294
2024-01-06,0.0,Promenade (nördlich Salzstraße),7954.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.5385048733224663
2024-01-06,0.0,Hafenstraße,4313.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.6330894656478392
2024-01-06,0.0,Gartenstraße,1729.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.6372428268458529
2024-01-06,0.0,Hammer Straße,10298.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.7219679556824974
2024-01-06,0.0,Hüfferstraße,2666.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.47863234673033106
2024-01-06,0.0,Warendorfer Straße,4458.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.7602077534705062
2024-01-06,0.0,Neutor,5815.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.5204146409105859
2024-01-06,0.0,"Kanalpromenade, Abschnitt 5",354.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.2853289029987005
2024-01-06,0.0,Promenade (in Höhe Hals),4156.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.4348266686914336
2024-01-06,0.0,"Kanalpromenade, Abschnitt 1",369.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.2741706208581096
2024-01-06,0.0,Lütkenbecker Weg,1268.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.4076806708321098
2024-01-06,0.0,Goldstraße,977.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.6877912374841441
2024-01-06,0.0,Bohlweg,2517.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.5785953723289275
2024-01-06,0.0,Kinderhauser Straße,474.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.45722222379375016
2024-01-06,0.0,Gasselstiege,1535.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.5469292653096357
2024-01-06,0.0,Schmeddingstraße,1142.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.4397804948493309
2024-01-06,0.0,Weißenburgstraße,757.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.5984611588641983
2024-01-06,0.0,"Kanalpromenade, Abschnitt 6",174.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.24954577249470986
2024-01-06,0.0,Coesfelder Kreuz,942.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,0.1713484243978557
2024-01-06,0.0,Grevener Straße,763.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.5561527344322728
2024-01-07,0.05,Wolbecker Straße,3294.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.36512111835376654
2024-01-07,0.05,Promenade (nördlich Salzstraße),5589.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.3783887021623415
2024-01-07,0.05,Hafenstraße,3375.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.49540388281044684
2024-01-07,0.05,Gartenstraße,840.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.30959165676721595
2024-01-07,0.05,Hammer Straße,4736.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.3320295434173925
2024-01-07,0.05,Hüfferstraße,1590.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.2854559007131382
2024-01-07,0.05,Warendorfer Straße,2138.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.3645859526514002
2024-01-07,0.05,Neutor,4266.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.3817865620162613
2024-01-07,0.05,"Kanalpromenade, Abschnitt 5",396.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.31918148471041075
2024-01-07,0.05,Promenade (in Höhe Hals),3511.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.36734274152445223
2024-01-07,0.05,"Kanalpromenade, Abschnitt 1",443.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.32915334699225623
